http://www.cars-data.com//en/bmw-620d-xdrive-gran-turismo-specs/80521	BMW 620d xDrive Gran Turismo	BMW 6-serie GT	BMW	76.441	D	hatchback	5091	1540 mm	1902 mm	1795 kg	1795 kg	136 g/km	2018	diesel	2	5	8	5	gearbox	610-1800 l	100 kg	7,9 s	front+rear	66 l	5,2 l/100km	220 km/h	715 kg	2100 kg	dohc	diesel	1995 cc	0 KW	400 Nm
http://www.cars-data.com//en/maserati-granturismo-specs/20776	Maserati GranTurismo	Maserati GranTurismo	Maserati	190.427	G	coupe	4881	1353 mm	1915 mm	1780 kg	1780 kg	330 g/km	2007	petrol	2	2	6	4	gearbox	260 l		5,2 s	rear	86 l	14,3 l/100km	285 km/h	470 kg		dohc	petrol	4244 cc	298 KW	460 Nm
http://www.cars-data.com//en/maserati-granturismo-mc-stradale-specs/20779	Maserati GranTurismo MC Stradale	Maserati GranTurismo	Maserati	234.461	G	coupe	4933	1343 mm	1915 mm	1670 kg	1670 kg	337 g/km	2011	petrol	2	2	6	4	gearbox	260 l		4,6 s	rear	90 l	14,4 l/100km	301 km/h			dohc	petrol	4691 cc	331 KW	510 Nm
http://www.cars-data.com//en/maserati-granturismo-s-specs/20778	Maserati GranTurismo S	Maserati GranTurismo	Maserati	202.427	G	coupe	4881	1353 mm	1915 mm	1780 kg	1780 kg	354 g/km	2010	petrol	2	2	6	4	gearbox	260 l		5,0 s	rear	86 l	15,2 l/100km	295 km/h	470 kg		dohc	petrol	4691 cc	323 KW	490 Nm
http://www.cars-data.com//en/maserati-granturismo-s-specs/20777	Maserati GranTurismo S	Maserati GranTurismo	Maserati	221.768	G	coupe	4881	1353 mm	1915 mm	1780 kg	1780 kg	385 g/km	2008	petrol	2	2	6	4	gearbox	260 l		4,9 s	rear	86 l	16,2 l/100km	295 km/h	470 kg		dohc	petrol	4691 cc	323 KW	490 Nm
http://www.cars-data.com//en/mazda-premacy-1.8-comfort-specs/21952	Mazda Premacy 1.8 Comfort	Mazda Premacy	Mazda	19.283	N.A.	mpv	4295	1570 mm	1705 mm	1210 kg	1210 kg		1999	petrol	2	5	5	5	gearbox	370-1848 l	75 kg	11,8 s	front	58 l	8,3 l/100km	175 km/h	540 kg	1200 kg	dohc	petrol	1839 cc	74 KW	152 Nm
http://www.cars-data.com//en/mazda-premacy-2.0-titd-touring-specs/21960	Mazda Premacy 2.0 TiTD Touring	Mazda Premacy	Mazda	26.317	N.A.	mpv	4295	1570 mm	1705 mm	1300 kg	1300 kg		1999	diesel	2	5	5	5	gearbox	370-1848 l	75 kg	12,9 s	front	58 l	5,7 l/100km	170 km/h	520 kg	1200 kg	dohc	diesel	1998 cc	66 KW	220 Nm
http://www.cars-data.com//en/mazda-premacy-2.0-titd-exclusive-specs/21959	Mazda Premacy 2.0 TiTD Exclusive	Mazda Premacy	Mazda	24.048	N.A.	mpv	4295	1570 mm	1705 mm	1300 kg	1300 kg		1999	diesel	2	5	5	5	gearbox	370-1848 l	75 kg	12,9 s	front	58 l	5,7 l/100km	170 km/h	520 kg	1200 kg	dohc	diesel	1998 cc	66 KW	220 Nm
http://www.cars-data.com//en/mazda-premacy-2.0-titd-comfort-specs/21958	Mazda Premacy 2.0 TiTD Comfort	Mazda Premacy	Mazda	22.687	N.A.	mpv	4295	1570 mm	1705 mm	1300 kg	1300 kg		1999	diesel	2	5	5	5	gearbox	370-1848 l	75 kg	12,9 s	front	58 l	5,7 l/100km	170 km/h	520 kg	1200 kg	dohc	diesel	1998 cc	66 KW	220 Nm
http://www.cars-data.com//en/mazda-premacy-1.8hp-touring-specs/21957	Mazda Premacy 1.8hp Touring	Mazda Premacy	Mazda	24.820	N.A.	mpv	4295	1570 mm	1705 mm	1230 kg	1230 kg		1999	petrol	2	5	4	5	gearbox	370-1848 l	75 kg	12,7 s	front	58 l	9,2 l/100km	170 km/h	540 kg	1200 kg	dohc	petrol	1839 cc	84 KW	161 Nm
