http://www.cars-data.com//en/mini-cabrio-cooper-s-sidewalk-specs/25634	Mini Cabrio Cooper S Sidewalk	Mini Cabrio	Mini	42.015	G	cabriolet	3655	1418 mm	1688 mm	1235 kg	1235 kg	208 g/km	2007	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,7 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-s-sidewalk-specs/25633	Mini Cabrio Cooper S Sidewalk	Mini Cabrio	Mini	39.925	G	cabriolet	3655	1418 mm	1688 mm	1215 kg	1215 kg	199 g/km	2007	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,3 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-sidewalk-specs/25628	Mini Cabrio Cooper Sidewalk	Mini Cabrio	Mini	35.230	G	cabriolet	3655	1418 mm	1688 mm	1265 kg	1265 kg	182 g/km	2007	petrol	2	2	s	4	gearbox	120-605 l		11,2 s	front	50 l	7,6 l/100km	182 km/h	325 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-one-sidewalk-specs/25620	Mini Cabrio One Sidewalk	Mini Cabrio	Mini	30.650	G	cabriolet	3655	1418 mm	1688 mm	1140 kg	1140 kg	168 g/km	2007	petrol	2	2	5	4	gearbox	120-605 l		11,8 s	front	50 l	7,0 l/100km	175 km/h	425 kg	650 kg	dohc	petrol	1598 cc	66 KW	140 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-sidewalk-specs/25627	Mini Cabrio Cooper Sidewalk	Mini Cabrio	Mini	32.810	G	cabriolet	3655	1418 mm	1688 mm	1150 kg	1150 kg	174 g/km	2007	petrol	2	2	5	4	gearbox	120-605 l		9,8 s	front	50 l	7,3 l/100km	193 km/h	425 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-chili-specs/25626	Mini Cabrio Cooper Chili	Mini Cabrio	Mini	32.520	G	cabriolet	3655	1418 mm	1688 mm	1265 kg	1265 kg	182 g/km	2006	petrol	2	2	s	4	gearbox	120-605 l		11,2 s	front	50 l	7,6 l/100km	182 km/h	325 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-pepper-specs/25624	Mini Cabrio Cooper Pepper	Mini Cabrio	Mini	30.470	G	cabriolet	3655	1418 mm	1688 mm	1265 kg	1265 kg	182 g/km	2006	petrol	2	2	s	4	gearbox	120-605 l		11,2 s	front	50 l	7,6 l/100km	182 km/h	325 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-specs/25622	Mini Cabrio Cooper	Mini Cabrio	Mini	29.415	G	cabriolet	3655	1418 mm	1688 mm	1265 kg	1265 kg	182 g/km	2006	petrol	2	2	s	4	gearbox	120-605 l		11,2 s	front	50 l	7,6 l/100km	182 km/h	325 kg	650 kg	dohc	petrol	1598 cc	85 KW	150 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-s-chili-specs/25632	Mini Cabrio Cooper S Chili	Mini Cabrio	Mini	40.330	G	cabriolet	3655	1418 mm	1688 mm	1235 kg	1235 kg	208 g/km	2005	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,7 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
http://www.cars-data.com//en/mini-cabrio-cooper-s-specs/25630	Mini Cabrio Cooper S	Mini Cabrio	Mini	37.250	G	cabriolet	3655	1418 mm	1688 mm	1235 kg	1235 kg	208 g/km	2005	petrol	2	2	6	4	gearbox	120-605 l		7,4 s	front	50 l	8,7 l/100km	215 km/h	425 kg		dohc	petrol	1598 cc	125 KW	220 Nm
http://www.cars-data.com//en/mercedes-c-180-cabriolet-specs/76599	Mercedes C 180 Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	50.445	C	cabriolet	4686	1409 mm	1810 mm	1500 kg	1500 kg	135 g/km	2016	petrol	2	2	6	4	gearbox	285-360 l	75 kg	8,9 s	rear	41 l	6,0 l/100km	222 km/h	580 kg	1400 kg	dohc	petrol	1595 cc	115 KW	250 Nm
http://www.cars-data.com//en/mercedes-c-220-d-cabriolet-specs/76608	Mercedes C 220 d Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	56.104	E	cabriolet	4686	1409 mm	1810 mm	1635 kg	1635 kg	116 g/km	2016	diesel	2	2	6	4	gearbox	285-360 l	75 kg	8,3 s	rear	41 l	4,5 l/100km	231 km/h	580 kg	1800 kg	dohc	diesel	2143 cc	125 KW	400 Nm
http://www.cars-data.com//en/mercedes-c-63-s-amg-cabriolet-specs/76607	Mercedes C 63 S AMG Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	132.048	G	cabriolet	4686	1409 mm	1810 mm	1825 kg	1825 kg	208 g/km	2016	petrol	2	2	7	4	gearbox	285-360 l	75 kg	4,1 s	rear	66 l	8,9 l/100km	250 km/h	455 kg	0 kg	dohc	petrol	3982 cc	375 KW	700 Nm
http://www.cars-data.com//en/mercedes-c-63-amg-cabriolet-specs/76606	Mercedes C 63 AMG Cabriolet	Mercedes-Benz C-class Cabriolet	Mercedes	123.578	G	cabriolet	4686	1409 mm	1810 mm	1810 kg	1810 kg	208 g/km	2016	petrol	2	2	7	4	gearbox	285-360 l	75 kg	4,2 s	rear	66 l	8,9 l/100km	250 km/h	470 kg	0 kg	dohc	petrol	3982 cc	350 KW	650 Nm
