http://www.cars-data.com//en/mercedes-a-180-d-business-solution-plus-specs/82321	Mercedes A 180 d Business Solution Plus	Mercedes-Benz A-class	Mercedes	38.490	E	hatchback	4419	1440 mm	1796 mm	1345 kg	1345 kg	108 g/km	2019	diesel	2	5	7	5	gearbox	370-1210 l	-	10,5 s	front	43 l	4,1 l/100km	202 km/h	590 kg	1400 kg	dohc	diesel	1461 cc	0 KW	260 Nm
http://www.cars-data.com//en/mercedes-a-160-business-solution-amg-specs/82295	Mercedes A 160 Business Solution AMG	Mercedes-Benz A-class	Mercedes	33.675	C	hatchback	4419	1440 mm	1796 mm	1250 kg	1250 kg	127 g/km	2019	petrol	2	5	6	5	gearbox	370-1210 l	-	10,9 s	front	43 l	5,5 l/100km	200 km/h	610 kg	1500 kg	dohc	petrol	1332 cc	0 KW	180 Nm
http://www.cars-data.com//en/mercedes-a-160-business-solution-plus-specs/82294	Mercedes A 160 Business Solution Plus	Mercedes-Benz A-class	Mercedes	31.883	C	hatchback	4419	1440 mm	1796 mm	1250 kg	1250 kg	127 g/km	2019	petrol	2	5	6	5	gearbox	370-1210 l	-	10,9 s	front	43 l	5,5 l/100km	200 km/h	610 kg	1500 kg	dohc	petrol	1332 cc	0 KW	180 Nm
http://www.cars-data.com//en/mercedes-a-160-business-solution-specs/82293	Mercedes A 160 Business Solution	Mercedes-Benz A-class	Mercedes	30.388	C	hatchback	4419	1440 mm	1796 mm	1250 kg	1250 kg	127 g/km	2019	petrol	2	5	6	5	gearbox	370-1210 l	-	10,9 s	front	43 l	5,5 l/100km	200 km/h	610 kg	1500 kg	dohc	petrol	1332 cc	0 KW	180 Nm
http://www.cars-data.com//en/ford-focus-wagon-1.4i-16v-ambiente-specs/14303	Ford Focus Wagon 1.4i 16V Ambiente	Ford Focus Wagon	Ford	16.561	G	stationwagon	4438	1447 mm	1702 mm	1115 kg	1115 kg	158 g/km	1999	petrol	2	5	5	5	gearbox	520-1580 l	100 kg	14,6 s	front	55 l	6,6 l/100km	171 km/h	515 kg	940 kg	dohc	petrol	1388 cc	55 KW	125 Nm
http://www.cars-data.com//en/ford-focus-wagon-1.8-tddi-90hp-ghia-specs/14318	Ford Focus Wagon 1.8 TDdi 90hp Ghia	Ford Focus Wagon	Ford	21.325	G	stationwagon	4438	1447 mm	1702 mm	1234 kg	1234 kg	143 g/km	1999	diesel	2	5	5	5	gearbox	520-1580 l	100 kg	12,8 s	front	55 l	5,4 l/100km	177 km/h	521 kg	1000 kg	ohc	diesel	1753 cc	66 KW	200 Nm
http://www.cars-data.com//en/ford-focus-wagon-1.8-tddi-90hp-ambiente-specs/14317	Ford Focus Wagon 1.8 TDdi 90hp Ambiente	Ford Focus Wagon	Ford	20.418	G	stationwagon	4438	1447 mm	1702 mm	1234 kg	1234 kg	143 g/km	1999	diesel	2	5	5	5	gearbox	520-1580 l	100 kg	12,8 s	front	55 l	5,4 l/100km	177 km/h	521 kg	1000 kg	ohc	diesel	1753 cc	66 KW	200 Nm
http://www.cars-data.com//en/ford-focus-wagon-1.8-tddi-90hp-trend-specs/14316	Ford Focus Wagon 1.8 TDdi 90hp Trend	Ford Focus Wagon	Ford	20.418	G	stationwagon	4438	1447 mm	1702 mm	1234 kg	1234 kg	143 g/km	1999	diesel	2	5	5	5	gearbox	520-1580 l	100 kg	12,8 s	front	55 l	5,4 l/100km	177 km/h	521 kg	1000 kg	ohc	diesel	1753 cc	66 KW	200 Nm
http://www.cars-data.com//en/ford-focus-wagon-2.0i-16v-ghia-specs/14314	Ford Focus Wagon 2.0i 16V Ghia	Ford Focus Wagon	Ford	20.418	G	stationwagon	4438	1447 mm	1702 mm	1197 kg	1197 kg	205 g/km	1999	petrol	2	5	5	5	gearbox	520-1580 l	100 kg	9,6 s	front	55 l	8,6 l/100km	201 km/h	518 kg	1200 kg	dohc	petrol	1989 cc	96 KW	174 Nm
http://www.cars-data.com//en/ford-focus-wagon-2.0i-16v-trend-specs/14313	Ford Focus Wagon 2.0i 16V Trend	Ford Focus Wagon	Ford	19.510	G	stationwagon	4438	1447 mm	1702 mm	1197 kg	1197 kg	205 g/km	1999	petrol	2	5	5	5	gearbox	520-1580 l	100 kg	9,6 s	front	55 l	8,6 l/100km	201 km/h	518 kg	1200 kg	dohc	petrol	1989 cc	96 KW	174 Nm
