http://www.cars-data.com//en/nissan-micra-1.2-l-specs/27196	Nissan Micra 1.2 L	Nissan Micra	Nissan	8.983	N.A.	hatchback	3735	1395 mm	1560 mm	720 kg	720 kg		1989	petrol	2	3	5	5	gearbox	168-376 l	75 kg	14,9 s	front	40 l	6,8 l/100km	150 km/h	415 kg	750 kg	ohc	petrol	1235 cc	40 KW	93 Nm
http://www.cars-data.com//en/nissan-micra-1.2-automaat-specs/27197	Nissan Micra 1.2 automaat	Nissan Micra	Nissan	10.566	N.A.	hatchback	3735	1395 mm	1560 mm	750 kg	750 kg		1989	petrol	2	3	3	5	gearbox	168-376 l	75 kg	- s	front	40 l	7,7 l/100km	150 km/h	415 kg	650 kg	ohc	petrol	1235 cc	40 KW	93 Nm
http://www.cars-data.com//en/nissan-micra-1.2-lx-specs/27198	Nissan Micra 1.2 LX	Nissan Micra	Nissan	9.936	N.A.	hatchback	3735	1395 mm	1560 mm	720 kg	720 kg		1989	petrol	2	3	5	5	gearbox	168-376 l	75 kg	14,9 s	front	40 l	6,8 l/100km	150 km/h	415 kg	750 kg	ohc	petrol	1235 cc	40 KW	93 Nm
http://www.cars-data.com//en/nissan-micra-1.2-lx-specs/27199	Nissan Micra 1.2 LX	Nissan Micra	Nissan	11.206	N.A.	hatchback	3735	1395 mm	1560 mm	750 kg	750 kg		1989	petrol	2	3	3	5	gearbox	168-376 l	75 kg	- s	front	40 l	7,7 l/100km	150 km/h	415 kg	650 kg	ohc	petrol	1235 cc	40 KW	93 Nm
http://www.cars-data.com//en/nissan-micra-1.2-slx-specs/27200	Nissan Micra 1.2 SLX	Nissan Micra	Nissan	10.435	N.A.	hatchback	3735	1395 mm	1560 mm	720 kg	720 kg		1989	petrol	2	3	5	5	gearbox	168-376 l	75 kg	14,9 s	front	40 l	6,8 l/100km	150 km/h	415 kg	750 kg	ohc	petrol	1235 cc	40 KW	93 Nm
http://www.cars-data.com//en/mitsubishi-pajero-long-body-2.5-td-glx-specs/26775	Mitsubishi Pajero Long Body 2.5 TD GLX	Mitsubishi Pajero Long Body	Mitsubishi	39.068	N.A.	suv/crossover	4700	1860 mm	1695 mm	1920 kg	1920 kg		1991	diesel	2	5	4	5	gearbox	- l	100 kg	25,1 s	front+rear	75 l	11,0 l/100km	140 km/h	730 kg	3300 kg	ohc	diesel	2477 cc	73 KW	240 Nm
http://www.cars-data.com//en/mitsubishi-pajero-long-body-2.5-td-glx-specs/26774	Mitsubishi Pajero Long Body 2.5 TD GLX	Mitsubishi Pajero Long Body	Mitsubishi	37.661	N.A.	suv/crossover	4700	1860 mm	1695 mm	1920 kg	1920 kg		1991	diesel	2	5	5	5	gearbox	- l	100 kg	16,4 s	front+rear	75 l	11,4 l/100km	145 km/h	730 kg	3300 kg	ohc	diesel	2477 cc	73 KW	240 Nm
http://www.cars-data.com//en/mitsubishi-pajero-long-body-3.0-v6-glsi-specs/26770	Mitsubishi Pajero Long Body 3.0 V6 GLSi	Mitsubishi Pajero Long Body	Mitsubishi	43.515	N.A.	suv/crossover	4725	1870 mm	1785 mm	1940 kg	1940 kg		1991	petrol	2	5	4	5	gearbox	1080-2050 l	100 kg	- s	front+rear	75 l			710 kg	3300 kg	ohc	petrol	2972 cc	110 KW	236 Nm
http://www.cars-data.com//en/mitsubishi-pajero-long-body-3.0-v6-glsi-specs/26769	Mitsubishi Pajero Long Body 3.0 V6 GLSi	Mitsubishi Pajero Long Body	Mitsubishi	42.109	N.A.	suv/crossover	4725	1870 mm	1785 mm	1940 kg	1940 kg		1991	petrol	2	5	5	5	gearbox	1080-2050 l	100 kg	12,5 s	front+rear	75 l	14,0 l/100km	165 km/h	710 kg	3300 kg	ohc	petrol	2972 cc	110 KW	236 Nm
http://www.cars-data.com//en/mitsubishi-pajero-long-body-2.8-td-gls-specs/26779	Mitsubishi Pajero Long Body 2.8 TD GLS	Mitsubishi Pajero Long Body	Mitsubishi	46.964	N.A.	suv/crossover	4700	1885 mm	1695 mm	2081 kg	2081 kg		1996	diesel	2	5	4	5	gearbox	1080-2050 l	100 kg	- s	front+rear	92 l	12,2 l/100km	150 km/h	639 kg	3300 kg	ohc	diesel	2835 cc	92 KW	292 Nm
