http://www.cars-data.com//en/mazda-mx-5-roadster-coupe-1.8-kaminari-specs/21945	Mazda MX-5 Roadster Coupe 1.8 Kaminari	Mazda MX-5 Roadster Coupe	Mazda	32.990	G	cabriolet	4021	1255 mm	1720 mm	1080 kg	1080 kg	167 g/km	2011	petrol	2	2	5	2	gearbox	150 l		9,9 s	rear	50 l	7,0 l/100km	198 km/h	295 kg		dohc	petrol	1798 cc	93 KW	167 Nm
http://www.cars-data.com//en/mclaren-570s-spider-specs/84613	McLaren 570S Spider	Mclaren 570S Spider	McLaren	272.150	G	coupe	4530	1202 mm	1908 mm	1359 kg	1359 kg	249 g/km	2017	petrol	2	2	7	2	gearbox	150 l	-	3,2 s	rear	72 l	11,0 l/100km	328 km/h	-	-	dohc	petrol	3799 cc	0 KW	600 Nm
http://www.cars-data.com//en/toyota-celica-liftback-2000-st-specs/48073	Toyota Celica Liftback 2000 ST	Toyota Celica Liftback	Toyota	10.596	N.A.	coupe	4370	1315 mm	1640 mm	1060 kg	1060 kg		1980	petrol	2	3	5	5	gearbox	- l	50 kg	12,8 s	rear	61 l	9,8 l/100km	175 km/h	490 kg	1000 kg	ohc	petrol	1968 cc	65 KW	145 Nm
http://www.cars-data.com//en/toyota-celica-liftback-2000-xt-specs/48074	Toyota Celica Liftback 2000 XT	Toyota Celica Liftback	Toyota	11.342	N.A.	coupe	4370	1315 mm	1640 mm	1060 kg	1060 kg		1980	petrol	2	3	5	5	gearbox	- l	50 kg	12,8 s	rear	61 l	9,8 l/100km	175 km/h	490 kg	1000 kg	ohc	petrol	1968 cc	65 KW	145 Nm
http://www.cars-data.com//en/toyota-celica-liftback-2000-xt-specs/48075	Toyota Celica Liftback 2000 XT	Toyota Celica Liftback	Toyota	N.A.	N.A.	coupe	4370	1315 mm	1640 mm	1080 kg	1080 kg		1980	petrol	2	3	4	5	gearbox	- l	50 kg	- s	rear	61 l	11,2 l/100km	165 km/h	470 kg	1000 kg	ohc	petrol	1968 cc	65 KW	145 Nm
http://www.cars-data.com//en/toyota-celica-liftback-2000-gt-specs/48076	Toyota Celica Liftback 2000 GT	Toyota Celica Liftback	Toyota	13.818	N.A.	coupe	4370	1315 mm	1640 mm	1076 kg	1076 kg		1980	petrol	2	3	5	5	gearbox	- l	50 kg	10,1 s	rear	61 l	9,2 l/100km	190 km/h	474 kg	1000 kg	dohc	petrol	1968 cc	87 KW	152 Nm
http://www.cars-data.com//en/saab-9-3-cabriolet-1.9-tid-150hp-linear-specs/42277	Saab 9-3 Cabriolet 1.9 TiD 150hp Linear	Saab 9-3 Cabriolet	Saab	49.990	G	cabriolet	4647	1437 mm	1780 mm	1625 kg	1625 kg	157 g/km	2007	diesel	2	2	6	5	gearbox	235-352 l	100 kg	10,4 s	front	59 l	5,9 l/100km	200 km/h	475 kg	1600 kg	dohc	diesel	1910 cc	110 KW	320 Nm
http://www.cars-data.com//en/saab-9-3-cabriolet-1.9-ttid-180hp-vector-specs/42288	Saab 9-3 Cabriolet 1.9 TTiD 180hp Vector	Saab 9-3 Cabriolet	Saab	59.750	G	cabriolet	4647	1437 mm	1780 mm	1660 kg	1660 kg	175 g/km	2007	diesel	2	2	6	5	gearbox	235-352 l	100 kg	9,5 s	front	59 l	6,6 l/100km	215 km/h	480 kg	1600 kg	dohc	diesel	1910 cc	132 KW	370 Nm
http://www.cars-data.com//en/saab-9-3-cabriolet-1.9-tid-150hp-linear-specs/42278	Saab 9-3 Cabriolet 1.9 TiD 150hp Linear	Saab 9-3 Cabriolet	Saab	53.540	G	cabriolet	4647	1437 mm	1780 mm	1650 kg	1650 kg	175 g/km	2007	diesel	2	2	6	5	gearbox	235-352 l	100 kg	11,8 s	front	59 l	6,6 l/100km	195 km/h	480 kg	1600 kg	dohc	diesel	1910 cc	110 KW	320 Nm
http://www.cars-data.com//en/saab-9-3-cabriolet-1.9-ttid-180hp-aero-specs/42291	Saab 9-3 Cabriolet 1.9 TTiD 180hp Aero	Saab 9-3 Cabriolet	Saab	58.600	G	cabriolet	4647	1437 mm	1780 mm	1625 kg	1625 kg	154 g/km	2007	diesel	2	2	6	5	gearbox	235-352 l	100 kg	9,1 s	front	59 l	5,8 l/100km	220 km/h	495 kg	1600 kg	dohc	diesel	1910 cc	132 KW	400 Nm
