http://www.cars-data.com//en/renault-megane-1.9-dci-120-dynamique-comfort-specs/39109	Renault Megane 1.9 dCi 120 Dynamique Comfort	Renault Megane	Renault	28.495	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-authentique-comfort-specs/39009	Renault Megane 1.4 16V Authentique Comfort	Renault Megane	Renault	21.695	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-expression-luxe-specs/39107	Renault Megane 1.9 dCi 120 Expression Luxe	Renault Megane	Renault	28.395	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.9-dci-120-expression-comfort-specs/39106	Renault Megane 1.9 dCi 120 Expression Comfort	Renault Megane	Renault	27.195	G	hatchback	4209	1457 mm	1777 mm	1245 kg	1245 kg	141 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		10,5 s	front	60 l	5,4 l/100km	196 km/h	575 kg	1300 kg	ohc	diesel	1870 cc	88 KW	300 Nm
http://www.cars-data.com//en/renault-megane-1.4-16v-privilege-comfort-specs/39016	Renault Megane 1.4 16V Privilege Comfort	Renault Megane	Renault	21.495	F	hatchback	4209	1457 mm	1777 mm	1140 kg	1140 kg	161 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		12,5 s	front	60 l	6,7 l/100km	183 km/h	575 kg	1300 kg	dohc	petrol	1390 cc	72 KW	127 Nm
http://www.cars-data.com//en/renault-megane-2.0-16v-authentique-comfort-specs/39039	Renault Megane 2.0 16V Authentique Comfort	Renault Megane	Renault	22.495	G	hatchback	4209	1457 mm	1777 mm	1225 kg	1225 kg	191 g/km	2002	petrol	2	5	6	5	gearbox	330-1190 l		9,2 s	front	60 l	8,0 l/100km	200 km/h	565 kg	1300 kg	dohc	petrol	1998 cc	99 KW	191 Nm
http://www.cars-data.com//en/renault-megane-1.6-16v-expression-basis-specs/39022	Renault Megane 1.6 16V Expression Basis	Renault Megane	Renault	20.295	G	hatchback	4209	1457 mm	1777 mm	1150 kg	1150 kg	163 g/km	2002	petrol	2	5	5	5	gearbox	330-1190 l		10,9 s	front	60 l	6,8 l/100km	192 km/h	575 kg	1300 kg	dohc	petrol	1598 cc	83 KW	152 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-privilege-luxe-specs/39074	Renault Megane 1.5 dCi 80 Privilege Luxe	Renault Megane	Renault	26.495	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-privilege-comfort-specs/39073	Renault Megane 1.5 dCi 80 Privilege Comfort	Renault Megane	Renault	25.295	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
http://www.cars-data.com//en/renault-megane-1.5-dci-80-dynamique-luxe-specs/39072	Renault Megane 1.5 dCi 80 Dynamique Luxe	Renault Megane	Renault	26.095	F	hatchback	4209	1457 mm	1777 mm	1170 kg	1170 kg	117 g/km	2002	diesel	2	5	5	5	gearbox	330-1190 l		14,3 s	front	60 l	4,5 l/100km	170 km/h	575 kg	1300 kg	ohc	diesel	1461 cc	60 KW	185 Nm
